book_name,author(s),publisher,language,#pages,best_seller_rank,customer_reviews,total_ratings,url,paperback_price($)
Secure Chains: Cybersecurity and Blockchain-powered Automation (English Edition),"Gokul B Alex,Abhishek Bhattacharya",BPB Publications,,354,8610658,['3.7'],['3'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MTUyNzcyMTIxNzM5NjEzOjE2ODc3OTkwNDY6c3BfYnRmOjIwMDA2NTQ3NjIxNDY4MTo6MDo6&url=%2FSecure-Chains-Cybersecurity-Blockchain-powered-Automation%2Fdp%2F9389328659%2Fref%3Dsr_1_961_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687799046%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-961-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,24.95
"Data-Intensive Applications: Design, Development, and Deployment Strategies for Scalable and Reliable Systems",Brian Murray,Self Publication,,Null,Null,['5.0'],['29'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MTUyNzcyMTIxNzM5NjEzOjE2ODc3OTkwNDY6c3BfYnRmOjIwMDE1OTYxOTIyMTQ5ODo6MDo6&url=%2FData-Intensive-Applications-Development-Deployment-Strategies%2Fdp%2FB0C2SCKWJ3%2Fref%3Dsr_1_962_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687799046%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-962-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,14.95
Creators of Intelligence: Industry secrets from AI leaders that you can easily apply to advance your data science career,Dr. Alex Antic,Packt Publishing,,374,911675,['5.0'],['0'],https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MTUyNzcyMTIxNzM5NjEzOjE2ODc3OTkwNDY6c3BfYnRmOjIwMDE2NTY3NjA4NDM5ODo6MDo6&url=%2FCreators-Intelligence-Industry-secrets-leaders%2Fdp%2F1804616486%2Fref%3Dsr_1_963_sspa%3Fcrid%3D2YD904R136ZW3%26keywords%3Ddata%2Bscience%2Bbooks%26qid%3D1687799046%26refinements%3Dp_n_feature_browse-bin%253A2656022011%26rnid%3D618072011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C421%26sr%3D1-963-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,54.99
Data Science for Business and Decision Making,"Luiz Paulo Favero,Patricia Belfiore (Author)",Academic Press,,1244,3434654,['5.0'],['5'],https://www.amazon.com/Data-Science-Business-Decision-Making/dp/0128112166/ref=sr_1_961?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799236&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-961,166.07
Machine Learning for Business: Using Amazon SageMaker and Jupyter,"Richard Nichol,Doug Hudgeon",Manning,,280,2731742,['3.4'],['6'],https://www.amazon.com/Machine-Learning-Business-SageMaker-Jupyter/dp/1617295833/ref=sr_1_962?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799236&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-962,39.19
"Beginning Relational Data Modeling, Second Edition","Sharon Allen,Evan Terry (Author)",Apress,,632,2717865,['4.1'],['21'],https://www.amazon.com/Beginning-Relational-Data-Modeling-Second/dp/1590594630/ref=sr_1_963?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799236&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-963,59.99
Data Wrangling with JavaScript,Ashley Davis,Manning,,432,2724270,['4.0'],['4'],https://www.amazon.com/Data-Wrangling-JavaScript-Ashley-Davis/dp/1617294845/ref=sr_1_964?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799236&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-964,49.99
Data Mining: The Textbook,Charu C. Aggarwal,Springer,,763,2872548,['4.3'],['40'],https://www.amazon.com/Data-Mining-Textbook-Charu-Aggarwal/dp/3319381164/ref=sr_1_965?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799236&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-965,48.99
"Learning Jupyter 5: Explore interactive computing using Python, Java, JavaScript, R, Julia, and JupyterLab, 2nd Edition",Dan Toomey,Packt Publishing,,282,2660199,['3.5'],['4'],https://www.amazon.com/Learning-Jupyter-interactive-JavaScript-JupyterLab/dp/1789137403/ref=sr_1_966?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799236&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-966,41.99
"Numerical Methods Using Java: For Data Science, Analysis, and Engineering",Haksun Li,Apress,,1200,3041257,['3.3'],['3'],https://www.amazon.com/Numerical-Methods-Using-Java-Engineering/dp/1484267966/ref=sr_1_967?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799236&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-967,34.15
